,account,age,following,numVotes
286,welovecryptos,11 days 15:14:22.129902000,1,2
287,hodlmetight,24 days 03:01:22.129902000,4,1
288,lr0119,7 days 10:07:10.129902000,1,3
289,kalkancrypto,20 days 19:02:10.129902000,1,2
290,gbzygil,20 days 16:56:46.129902000,4,1
291,coachmike,33 days 19:15:49.129902000,8,35
292,newhavennac,30 days 11:27:07.129902000,5,145
293,blazingazn88,125 days 10:18:58.129902000,9,4
294,fook07,6 days 21:41:58.129902000,1,1
295,ireetlave,44 days 02:03:10.129902000,6,4
296,dreddy13,77 days 15:57:07.129902000,6,1
297,frikirizado,5 days 18:24:46.129902000,0,1
298,nickjay,16 days 06:47:37.129902000,1,1
299,above11,16 days 14:32:52.129902000,7,6
300,johnnycrypto128,20 days 20:40:49.129902000,1,11
301,bazi,13 days 16:46:34.129902000,3,3
302,pora.valit,45 days 08:57:04.129902000,2,8
303,crypto.aladdin,6 days 10:23:37.129902000,1,5
304,juzsteemit,13 days 04:03:49.129902000,1,13
305,true4m,13 days 11:29:55.129902000,1,7
306,shelbymd,45 days 16:31:10.129902000,3,16
307,timmylivinalie,7 days 09:24:13.129902000,1,3
308,webadi,12 days 19:19:04.129902000,1,1
309,thulanis,138 days 14:15:01.129902000,6,6
310,twgolfguy,7 days 01:46:31.129902000,1,11
311,cryptokatie,44 days 19:33:37.129902000,2,1
312,firexbug,7 days 13:45:40.129902000,1,1
313,stefunk,7 days 12:36:16.129902000,1,1
314,oner.egdc,80 days 20:03:37.129902000,5,1
315,yewcandoit,5 days 19:32:22.129902000,0,2
316,smapsekar,155 days 22:37:55.129902000,1,15
317,kerrydean,17 days 16:32:34.129902000,1,1
318,aztec,65 days 08:21:52.129902000,5,1
319,justkathy,6 days 13:13:55.129902000,1,1
320,legalcrypto,6 days 21:24:49.129902000,1,3
321,ilka1,146 days 16:34:34.129902000,1,3
322,gus683,103 days 23:03:07.129902000,3,8
323,inventorsfactory,7 days 06:50:43.129902000,1,18
324,cryptolove444,64 days 00:38:46.129902000,0,1
325,nathansudo,13 days 02:52:01.129902000,1,2
326,cryptohippo,5 days 19:02:22.129902000,0,1
327,isaacwintonkara,6 days 01:22:16.129902000,1,5
328,r4m0n0,6 days 12:01:13.129902000,1,1
329,kimlanbunlar55,7 days 07:29:31.129902000,1,1
330,activanalog,13 days 01:04:46.129902000,5,3
331,landonson,9 days 08:55:25.129902000,1,6
332,darlin.park,6 days 12:36:16.129902000,1,1
333,holylights,92 days 23:51:25.129902000,11,89
334,hereisjohnny1111,7 days 14:57:04.129902000,1,5
335,redrum-gum,11 days 23:22:04.129902000,1,14
336,polyb1123,106 days 23:48:13.129902000,2,1
337,stamos86,18 days 20:14:40.129902000,1,8
338,arnostu,7 days 06:30:22.129902000,2,2
339,sidjankar,109 days 20:41:31.129902000,1,3
340,sjeiks,7 days 03:49:31.129902000,1,7
341,big-money-504,27 days 02:05:25.129902000,2,27
342,fractalseed,13 days 17:59:22.129902000,2,16
343,alastrom,51 days 23:18:43.129902000,6,2
344,uswajer,32 days 17:21:01.129902000,2,1
345,dapatriot,18 days 06:37:46.129902000,1,12
346,xvgesus,65 days 20:26:25.129902000,2,3
347,aruk,8 days 00:15:49.129902000,4,1
348,nugis,192 days 18:37:19.129902000,2,3
349,ashishdbz,10 days 12:30:13.129902000,3,2
350,sirjackiee,45 days 15:07:13.129902000,3,18
351,bitcoinfiend,17 days 09:20:37.129902000,2,3
352,bassick.element,8 days 11:35:52.129902000,1,11
353,teepott91,20 days 17:59:55.129902000,3,38
354,star3528,16 days 13:33:40.129902000,1,1
355,archymede,22 days 22:20:16.129902000,2,1
356,cryptme61,7 days 06:59:46.129902000,1,1
357,hey0tini1989,24 days 14:07:40.129902000,0,1
358,jcrimi,76 days 22:34:46.129902000,9,2
359,dorvald,21 days 23:13:46.129902000,2,17
360,tk2hungry,37 days 22:56:22.129902000,3,3
361,hikkup,11 days 13:44:10.129902000,1,1
362,robinh0,13 days 05:51:40.129902000,1,1
363,cryptob1025,8 days 00:03:31.129902000,1,4
364,alisadreddini,6 days 12:55:04.129902000,1,1
365,djillanoise,36 days 08:32:04.129902000,10,5
366,akaaj,7 days 12:27:37.129902000,3,2
367,silver-falls,16 days 14:51:31.129902000,1,39
368,cloudjester,9 days 13:22:34.129902000,1,39
